name,url,state,court_type,category,notes
District Judge Beth Labson Freeman - Standing Orders,https://www.cand.uscourts.gov/judges/freeman-beth-l-blf/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Eumi K. Lee - Standing Orders,https://www.cand.uscourts.gov/judges/lee-eumi-k-ekl/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge P. Casey Pitts - Standing Orders,https://www.cand.uscourts.gov/judges/pitts-p-casey-pcp/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Noel Wise - Standing Orders,https://www.cand.uscourts.gov/judges/wise-noel-nw/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Edward J. Davila - Standing Orders,https://www.cand.uscourts.gov/judges/davila-edward-j-ejd/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Yvonne Gonzalez Rogers - Standing Orders,https://www.cand.uscourts.gov/judges/gonzalez-rogers-yvonne-ygr/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Phyllis J. Hamilton - Standing Orders,https://www.cand.uscourts.gov/judges/hamilton-phyllis-j-pjh/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Jon S. Tigar - Standing Orders,https://www.cand.uscourts.gov/judges/tigar-jon-s-jst/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Jeffrey S. White - Standing Orders,https://www.cand.uscourts.gov/judges/jsw/,CA,federal,all,Group: CA USDC - Northern District Judges
District Judge Claudia Wilken - Standing Orders,https://www.cand.uscourts.gov/judges/wilken-claudia-cw/,CA,federal,all,Group: CA USDC - Northern District Judges
"District Judge James E. Simmons, Jr. - Civil Chambers Rules",https://www.casd.uscourts.gov/Judges/simmons/docs/Simmons%20Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
District Judge Benjamin J. Cheeks - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/cheeks/docs/Judge%20Cheeks%20Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
District Judge Jinsook Ohta - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/ohta/docs/Ohta%20Chambers%20Civil%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
District Judge Andrew G. Schopler - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/schopler/docs/Schopler%20CIVIL%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Jill L. Burkhardt - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/burkhardt/docs/Burkhardt%20Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Daniel E. Butcher - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/butcher/docs/Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Steve B. Chu - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/chu/docs/Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Karen S. Crawford - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/crawford/docs/Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Allison H. Goddard - Civil Pretrial Procedures,https://www.casd.uscourts.gov/Judges/goddard/docs/Goddard%20Civil%20Pretrial%20Procedures.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Judges of the Southern District of California,https://www.casd.uscourts.gov/Judges.aspx,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Mitchell D. Dembin - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/dembin/docs/Dembin%20Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge David D. Leshner - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/leshner/docs/Leshner%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Barbara L. Major - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/major/docs/Chambers%20Rules%20Civil.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
"Magistrate Judge Lupe Rodriguez, Jr. - Civil Chambers Rules",https://www.casd.uscourts.gov/Judges/rodriguez/docs/Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Valerie E. Torres - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/torres/docs/Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
Magistrate Judge Michelle M. Pettit - Civil Chambers Rules,https://www.casd.uscourts.gov/Judges/pettit/docs/Pettit%20Civil%20Chambers%20Rules.pdf,CA,federal,all,Group: CA USDC - Southern District Judges
